System Name,Other Names,Bayer,Flamsteed,Variable Star Flag,Variable Type,Variable Star Designation,Constellation,Obsolete Designation,Henry Draper,Redundant HD Designation,Yale Catalogue of Bright Stars (HR),Hipparcos,Smithsonian,Other Designations,Gaia,Notes,Object Type (SIMBAD),Glat,Glon,Parallax,Spectral Type (SIMBAD),Number of Stars,Star Name 1,Star Name 2,Star Name 3,Star Name 4,System Age (Gyr),System Metallicity (dex),System Metallicity (Z),Known Exoplanets,Spectral Type 1,Spectral Type 2,Spectral Type 3,Spectral Type 4,Mass 1 (Msol),Radius 1 (Rsol),Temperature 1 (K),Mass 2 (Msol),Radius 2 (Rsol),Temperature 2 (K),Mass 3 (Msol),Radius 3 (Rsol),Temperature 3 (K),Mass 4 (Msol),Radius 4 (Rsol),Temperature 4 (K),,
Kappa Tucanae A,,Kappa,,,,,Tucanae,,HD 7788A,,HR 377,HIP 5896,SAO 248346,TYC 9136-1759-2,Gaia DR3 4692263148249862016,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,2,Kappa Tucanae A,Aa,Ab,,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}}, ,, ,{{mass1}},{{radius1}},{{temp1}},,,,,,,,,,,
Kappa Tucanae B,,Kappa,,,,,Tucanae,,HD 7788B,,,,,TYC 9136-1759-1,Gaia DR3 4692263904164105856,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,1,Kappa Tucanae B,B,,,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}}, ,, ,{{mass1}},{{radius1}},{{temp1}},,,,,,,,,,,
Kappa Tucanae C,,Kappa,,,,,Tucanae,,HD 7693A,,,,,TYC 9136-1758-1,Gaia DR3 4692276170589724288,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,1,Kappa Tucanae C,C,,,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}}, ,, ,{{mass1}},{{radius1}},{{temp1}},,,,,,,,,,,
Kappa Tucanae D,,Kappa,,,,,Tucanae,,HD 7693B,,,,,TYC 9136-1758-2,Gaia DR3 4692276170590701952,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,1,Kappa Tucanae D,C,,,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}}, ,, ,{{mass1}},{{radius1}},{{temp1}},,,,,,,,,,,
Lambda-1 Tucanae A,,Lambda-1,,,,,Tucanae,,HD 5190,,HR 252,HIP 4084,SAO 248269,,Gaia DR3 4691995692046507520,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,1,Lambda-1 Tucanae A,,,,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}}, ,, ,{{mass1}},{{radius1}},{{temp1}},,,,,,,,,,,
Lambda-1 Tucanae B,,Lambda-1,,,,,Tucanae,,HD 5208,,,HIP 4088,SAO 248271,,Gaia DR3 4691996001284763136,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,1,Lambda-1 Tucanae B,,,,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}},,,,,,,,,,,,,,,,,
Lambda-2 Tucanae,,Lambda-2,,,,,Tucanae,,HD 5457,,HR 270,HIP 4293,SAO 248281,,Gaia DR3 4691986930313219072,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,1,Lambda-2 Tucanae,,,,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}}, ,, ,{{mass1}},{{radius1}},{{temp1}},,,,,,,,,,,
Nu Tucanae,,Nu,,,,,Tucanae,,HD 213442,,HR 8582,HIP 111310,SAO 255247,,Gaia DR3 6406700636957782144,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,1,Nu Tucanae,,,,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}}, ,, ,{{mass1}},{{radius1}},{{temp1}},,,,,,,,,,,
Pi Tucanae A,,Pi,,,,,Tucanae,,HD 1685,,HR 83,HIP 1647,SAO 248167,,Gaia DR3 4703064819200500096,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,1,Pi Tucanae A,,,,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}}, ,, ,{{mass1}},{{radius1}},{{temp1}},,,,,,,,,,,
Pi Tucanae B,,Pi,,,,,Tucanae,,,,,,,,Gaia DR3 4703064819199266432,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,1,Pi Tucanae B,,,,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}}, ,, ,{{mass1}},{{radius1}},{{temp1}},,,,,,,,,,,
Rho Tucanae,,Rho,,,,,Tucanae,,HD 4089,,HR 187,HIP 3330,SAO 248237,,Gaia DR3 4707315118836465152,spectroscopic binary,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,2,A,B,,,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}}, ,, ,{{mass1}},{{radius1}},{{temp1}},,,,,,,,,,,
Dubhe,,Alpha,50,,,,Ursae Majoris,,HD 95689,,HR 4301,HIP 54061,SAO 15384,,,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,2,{{Starname 1}},{{Starname 2}}, , ,{{sys age}},{{dex}},{{Z}},{{exoplanets}},G9III+A7.5 ,{{spectype2}}, , ,{{mass1}},{{radius1}},{{temp1}},{{mass2}},{{radius2}},{{temp2}}, , ,, , ,, ,
Merak,,Beta,48,,,,Ursae Majoris,,HD 95418,,HR 4295,HIP 53910 ,SAO 27876 ,,Gaia DR3 856096765753549056,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,1,Merak, , , ,{{sys age}},{{dex}},{{Z}},{{exoplanets}},A1IVps , , , ,{{mass1}},{{radius1}},{{temp1}}, , ,, , , , , , , ,
Phecda,,Gamma,64,,,,Ursae Majoris,,HD 103287,,HR 4554,HIP 58001 ,SAO 28179 ,,Gaia DR3 792588939773693568, ,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,2,A,B, , ,{{sys age}},{{dex}},{{Z}},{{exoplanets}},A0V,{{spectype2}}, , ,{{mass1}},{{radius1}},{{temp1}},{{mass2}},{{radius2}},{{temp2}}, ,, , ,, ,,
Megrez,,Delta,69,,,,Ursae Majoris,,HD 106591,,HR 4660,HIP 59774 ,SAO 28315 ,,Gaia DR3 1575287046603605888,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,3,{{Starname 1}},{{Starname 2}},{{Starname 3}}, ,{{sys age}},{{dex}},{{Z}},{{exoplanets}},A2Vn ,{{spectype2}},{{spectype3}}, ,{{mass1}},{{radius1}},{{temp1}},{{mass2}},{{radius2}},{{temp2}},{{mass3}},{{radius3}},{{temp3}}, , , ,,
Alioth,,Epsilon,77,,,,Ursae Majoris,,HD 112185,,HR 4905,HIP 62956,SAO 28553,,Gaia DR3 1576683529448755328 ,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,1,Alioth (Epsilon Ursae Majoris), , , ,0.3,0,{{Z}},{{exoplanets}},A1III-IVpkB9 , , , ,{{mass1}},{{radius1}},{{temp1}},, , , , , , , ,,,
Mizar,,Zeta,79,,,,Ursae Majoris,,HD 116656,,HR 5054,HIP 65378A ,SAO 28737 ,,Gaia DR3 1563590579347125632,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,2,Aa,Ab, , ,{{sys age}},{{dex}},{{Z}},{{exoplanets}},A1.5Vas,{{spectype2}}, , ,{{mass1}},{{radius1}},{{temp1}},{{mass2}},{{radius2}},{{temp2}}, , ,, , ,,,
Zeta Ursae Majoris B,,Zeta,79,,,,Ursae Majoris,,HD 116657,,HR 5055,HIP 65378B ,SAO 28738 ,,Gaia DR3 1563590510627624064,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,2,Ba,Bb,, ,{{sys age}},{{dex}},{{Z}},{{exoplanets}},kA1h(eA)mA7IV-V,{{spectype2}}, , ,{{mass1}},{{radius1}},{{temp1}},{{mass2}},{{radius2}},{{temp2}},,,,,,,,
Alkaid,,Eta,85,,,,Ursae Majoris,,HD 120315,,HR 5191,HIP 67301,SAO 44752,,Gaia DR3 1510374147844219904 ,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,1,Alkaid, , , ,{{sys age}},{{dex}},{{Z}},{{exoplanets}},B3V, , , ,{{mass1}},{{radius1}},{{temp1}}, , , , ,, , , , ,,
Theta Ursae Majoris,,Theta,25,,,,Ursae Majoris,,HD 82328,,HR 3775,HIP 46853,SAO 27289,,Gaia DR3 1018776176872261248,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,1,Theta Ursae Majoris,,,,2.2,-0.18,0.660693448,,F6IV,,,,1.41,2.41,6256,,,,,,,,,,,
Talitha,,Iota,9,,,,Ursae Majoris,,HD 76644,,HR 3569,HIP 44127,SAO 42630,CCDM J08592+4803A,Gaia DR3 1014058103758571520,spectroscopic binary,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,2,Aa,Ab, , ,{{sys age}},{{dex}},{{Z}},{{exoplanets}},A7V(n),{{spectype2}}, , ,{{mass1}},{{radius1}},{{temp1}},{{mass2}},{{radius2}},{{temp2}}, , ,, , ,, ,
Iota Ursae Majoris BC,,Iota,9,,,,Ursae Majoris,,HD 76644,,HR 3569,HIP 44127,SAO 42630,CCDM J08592+4803BC, ,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,1,B,,, ,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}}, ,, ,{{mass1}},{{radius1}},{{temp1}},,,,,,,,,,,
Alkaphrah,,Kappa,12,,,,Ursae Majoris,,HD 77327,,HR 3594,HIP 44471,SAO 42661,, ,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,2,{{Starname 1}},{{Starname 2}}, , ,{{sys age}},{{dex}},{{Z}},{{exoplanets}},A1Vn ,{{spectype2}}, , ,{{mass1}},{{radius1}},{{temp1}},{{mass2}},{{radius2}},{{temp2}}, , , ,, , , ,
Tania Borealis,,Lambda,33,,,,Ursae Majoris,,HD 89021,,HR 4033,HIP 50372,SAO 43268,,Gaia DR3 805881416880407936,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,1,Tania Borealis, , , ,{{sys age}},{{dex}},{{Z}},{{exoplanets}},A1IV, , , ,{{mass1}},{{radius1}},{{temp1}}, , ,, , , , , , ,,
Tania Australis,,Mu,34,,,,Ursae Majoris,,HD 89758,,HR 4069,HIP 50801,SAO 43310,,Gaia DR3 804753180515722624,spectroscopic binary,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,2,A,B, , ,{{sys age}},{{dex}},{{Z}},{{exoplanets}},M0III,{{spectype2}}, , ,{{mass1}},{{radius1}},{{temp1}},{{mass2}},{{radius2}},{{temp2}}, , , , ,, , ,
Alula Borealis,,Nu,54,,,,Ursae Majoris,,HD 98262,,HR 4377,HIP 55219,SAO 62486,,Gaia DR3 757565233820538752,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,1,Alula Borealis, , , ,{{sys age}},{{dex}},{{Z}},{{exoplanets}},K3-III:, , , ,{{mass1}},{{radius1}},{{temp1}}, ,, ,, , ,, , , ,
Alula Australis,,Xi,53,,,,Ursae Majoris,,HD 98231,,HR 4375,HIP 55203A , ,,Gaia DR2 756853643637996672,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,2,Aa,Ab, , ,{{sys age}},{{dex}},{{Z}},{{exoplanets}},F8.5:V ,{{spectype2}}, , ,{{mass1}},{{radius1}},{{temp1}},{{mass2}},{{radius2}},{{temp2}}, , ,, , ,,,
Alula Australis,,Xi,53,,,,Ursae Majoris,,HD 98230,,HR 4374,HIP 55203B , , ,Gaia DR3 756853643637996160,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,2,Ba,Bb,,,{{sys age}},{{dex}},{{Z}},{{exoplanets}},G2V,{{spectype2}}, , ,{{mass1}},{{radius1}},{{temp1}},{{mass2}},{{radius2}},{{temp2}},,,,,,,,
Alula Australis,,Xi,53,,,,Ursae Majoris,,,, , , ,WISE J111838.70+312537.9, ,not detected in Gaia,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,1,C,,,,{{sys age}},{{dex}},{{Z}},{{exoplanets}},T8.5, , , ,{{mass1}},{{radius1}},{{temp1}}, ,, , ,,,,,,,
Muscida,,Omicron,1,,,,Ursae Majoris,,HD 71369,,HR 3323,HIP 41704 ,SAO 14573 ,,Gaia DR3 1041808368494264576,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,1,Muscida, , , ,{{sys age}},{{dex}},{{Z}},Y,G5III: , , , ,{{mass1}},{{radius1}},{{temp1}},, ,, , , , ,, , ,
Pi-1 Ursae Majoris,,Pi-1,3,,,,Ursae Majoris,,HD 72905,,HR 3391,HIP 42438,SAO 14609,,Gaia DR3 1092545710514654464,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,1,Pi-1 Ursae Majoris,,,,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}}, ,, ,{{mass1}},{{radius1}},{{temp1}},,,,,,,,,,,
Pi-2 Ursae Majoris,,Pi-2,4,,,,Ursae Majoris,,HD 73108,,HR 3403,HIP 42527,SAO 14616,,Gaia DR3 1092230803512999424,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,1,Pi-2 Ursae Majoris,,,,{{sys age}},{{dex}},{{Z}},Y,{{spectype1}}, ,, ,{{mass1}},{{radius1}},{{temp1}},,,,,,,,,,,
Rho Ursae Majoris,,Rho,8,,,,Ursae Majoris,,HD 76827,,HR 3576,HIP 44390,SAO 14742,,Gaia DR3 1117104986348319232,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,1,Rho Ursae Majoris,,,,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}}, ,, ,{{mass1}},{{radius1}},{{temp1}},,,,,,,,,,,
Sigma-1 Ursae Majoris,,Sigma-1,11,,,,Ursae Majoris,,HD 77800,,HR 3609,HIP 44857 ,SAO 14769,,Gaia DR3 1068971975056597632,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,1,Sigma-1 Ursae Majoris,,,,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}}, ,, ,{{mass1}},{{radius1}},{{temp1}},,,,,,,,,,,
Sigma-2 Ursae Majoris A,,Sigma-2,13,,,,Ursae Majoris,,HD 78154,,HR 3616,HIP 45038,SAO 14788,TYC 4141-1496-1,Gaia DR3 1068982214258617216,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,1,Sigma-2 Ursae Majoris A,,,,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}}, ,, ,{{mass1}},{{radius1}},{{temp1}},,,,,,,,,,,
Sigma-2 Ursae Majoris B,,Sigma-2,,,,,Ursae Majoris,,,,,,,TYC 4141-1496-2,Gaia DR3 1068982214258617856,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,1,Sigma-2 Ursae Majoris B,,,,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}}, ,, ,{{mass1}},{{radius1}},{{temp1}},,,,,,,,,,,
Tau Ursae Majoris,,Tau,14,,,,Ursae Majoris,,HD 78362,,HR 3624,HIP 45075,SAO 14796,HD 78363,Gaia DR3 1043382731705599360,spectroscopic binary,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,2,Tau Ursae Majoris,,,,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}}, ,, ,{{mass1}},{{radius1}},{{temp1}},,,,,,,,,,,
Upsilon Ursae Majoris A,,Upsilon,29,,,,Ursae Majoris,,HD 84999,,HR 3888,HIP 48319,SAO 27401,,Gaia DR3 1049765396704695936 ,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,1,Upsilon Ursae Majoris A,,,,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}}, ,, ,{{mass1}},{{radius1}},{{temp1}},,,,,,,,,,,
Upsilon Ursae Majoris B,,Upsilon, ,,,,Ursae Majoris,,,,,,,2MASS J09505798+5902244,Gaia DR3 1049765602862192768 ,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,1,Upsilon Ursae Majoris B,,,,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}}, ,, ,{{mass1}},{{radius1}},{{temp1}},,,,,,,,,,,
Phi Ursae Majoris,,Phi,30,,,,Ursae Majoris,,HD 85235,,HR 3894,HIP 48402,SAO 27408,, ,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,1,Phi Ursae Majoris,,,,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}}, ,, ,{{mass1}},{{radius1}},{{temp1}},,,,,,,,,,,
Taiyangshou,,Chi,63,,,,Ursae Majoris,,HD 102224,,HR 4518,HIP 57399,SAO 43886,,Gaia DR3 786420645182229504,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,1,Taiyangshou, , , ,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}}, ,, ,{{mass1}},{{radius1}},{{temp1}}, ,, , , , , , , , ,
Psi Ursae Majoris,,Psi,52,,,,Ursae Majoris,,HD 96833,,HR 4335,HIP 54539,SAO 43629,,Gaia DR3 779106556394253824,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,1,Psi Ursae Majoris,,,,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}}, ,, ,{{mass1}},{{radius1}},{{temp1}},,,,,,,,,,,
Omega Ursae Majoris,,Omega,45,,,,Ursae Majoris,,HD 94334,,HR 4248,HIP 53295,SAO 43512,,Gaia DR3 781696249874547840,spectroscopic binary,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,2,Omega Ursae Majoris,,,,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}}, ,, ,{{mass1}},{{radius1}},{{temp1}},,,,,,,,,,,
Alcor,,g,80,,,,Ursae Majoris,,HD 116842,,HR 5062,HIP 65477,SAO 28751,,Gaia DR3 1565090003967879424 ,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,2,Alcor (80 Ursae Majoris A),80 Ursae Majoris B, , ,{{sys age}},{{dex}},{{Z}},{{exoplanets}},A5V+M3-4V,{{spectype2}},,,{{mass1}},{{radius1}},{{temp1}},{{mass2}},{{radius2}},{{temp2}},,,,,,,,
Chalawan,,,47,,,,Ursae Majoris,,HD 95128,,HR 4277,HIP 53721,SAO 43557,,Gaia DR3 777254360337133312,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,1,Chalawan, , , ,{{sys age}},{{dex}},{{Z}},Y,G1-VFe-0.5 , , , ,{{mass1}},{{radius1}},{{temp1}}, , ,, , , , ,, , ,
b Ursae Majoris,,b,5,,,,Ursae Majoris,,HD 75486,,HR 3505,HIP 43644,SAO 14691,,Gaia DR3 1042950073879881600,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,1,b Ursae Majoris,,,,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}}, ,, ,{{mass1}},{{radius1}},{{temp1}},,,,,,,,,,,
c Ursae Majoris,,c,16,,,,Ursae Majoris,,HD 79028,,HR 3648,HIP 45333,SAO 14819,,Gaia DR3 1040054235130174080,spectroscopic binary,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,2,c Ursae Majoris,,,,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}}, ,, ,{{mass1}},{{radius1}},{{temp1}},,,,,,,,,,,
d Ursae Majoris,,d,24,Y,,DK,Ursae Majoris,,HD 82210,,HR 3771,HIP 46977,SAO 6897,,Gaia DR3 1071133340038904320,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,1,d Ursae Majoris,,,,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}}, ,, ,{{mass1}},{{radius1}},{{temp1}},,,,,,,,,,,
e Ursae Majoris,,e,18,,,,Ursae Majoris,,HD 79439,,HR 3662,HIP 45493,SAO 27191,,Gaia DR3 1022858010710856576,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,1,e Ursae Majoris,,,,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}}, ,, ,{{mass1}},{{radius1}},{{temp1}},,,,,,,,,,,
f Ursae Majoris,,f,15,,,,Ursae Majoris,,HD 78209,,HR 3619,HIP 44901,SAO 27136,,Gaia DR3 1016370651589755904,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,1,f Ursae Majoris,,,,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}}, ,, ,{{mass1}},{{radius1}},{{temp1}},,,,,,,,,,,
h Ursae Majoris,,h,23,,,,Ursae Majoris,,HD 81937,,HR 3757,HIP 46733,SAO 14908,,Gaia DR3 1064092789129355136,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,1,h Ursae Majoris,,,,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}}, ,, ,{{mass1}},{{radius1}},{{temp1}},,,,,,,,,,,
A Ursae Majoris,,A,2,,,,Ursae Majoris,,HD 72037,,HR 3354,HIP 42080,SAO 14590,,Gaia DR3 1092518738120160256,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,1,A Ursae Majoris,,,,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}}, ,, ,{{mass1}},{{radius1}},{{temp1}},,,,,,,,,,,
61 Ursae Majoris,, ,61,,,,Ursae Majoris,,HD 101501,,HR 4496,HIP 56997,SAO 62655,,Gaia DR3 4025850731201819392,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,1,61 Ursae Majoris, ,,,1.4,-0.03,0.933254301,,G8V,,,,0.94,0.845,5488,,,,,,,,,,,
Polaris,,Alpha,,,, ,Ursae Minoris,,HD 8890,,HR 424,HIP 11767 ,SAO 308 ,, ,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,2,Aa,Ab, , ,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}},{{spectype2}}, , ,{{mass1}},{{radius1}},{{temp1}},{{mass2}},{{radius2}},{{temp2}}, ,, , , , , ,
Alpha Ursae Minoris B,,Alpha,,Y,, ,Ursae Minoris, ,,, , ,SAO 305,,Gaia DR3 576402619921510144,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,1,B,,,,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}}, , , ,{{mass1}},{{radius1}},{{temp1}}, , , , ,,,,,,,
Kochab,,Beta,7,,,,Ursae Minoris,,HD 131873,,HR 5563,HIP 72607 ,SAO 8102 ,, ,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,1,Kochab, , , ,{{sys age}},{{dex}},{{Z}},Y,K4-III , , ,,{{mass1}},{{radius1}},{{temp1}}, , ,,,, , , , ,,
Pherkad,,Gamma,13,,,,Ursae Minoris,,HD 137422,,HR 5735,HIP 75097 ,SAO 8220 ,,Gaia DR3 1696877570753454208,featured in the Cthulu mythos,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,1,Pherkad, , , ,{{sys age}},{{dex}},{{Z}},{{exoplanets}},A2III, , , ,{{mass1}},{{radius1}},{{temp1}}, , , ,, , , , ,,,
Yildun,,Delta,23,,,,Ursae Minoris,,HD 166205,,HR 6789,HIP 85822,SAO 2937 ,,Gaia DR3 1724851173788449536 ,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,1,Yildun, , , ,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}}, , , ,{{mass1}},{{radius1}},{{temp1}}, ,, , , , , , , ,,
Epsilon Ursae Minoris,,Epsilon,,Y,RS CVn,,Ursae Minoris,,HD 153751,,HR 6322,HIP 82080,SAO 2770,,Gaia DR3 1710727122296357376,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,2,Epsilon Ursae Minoris,,,,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}}, , , ,{{mass1}},{{radius1}},{{temp1}},,,,,,,,,,,
Zeta Ursae Minoris,,Zeta,16,,,,Ursae Minoris,,HD 142105,,HR 5903,HIP 77055,SAO 8328,,Gaia DR3 1707399209837352064,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,1,Zeta Ursae Minoris,,,,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}}, , , ,{{mass1}},{{radius1}},{{temp1}},,,,,,,,,,,
Eta Ursae Minoris,,Eta,21,,,,Ursae Minoris,,HD 148048,,HR 6116,HIP 79822,SAO 8470,,Gaia DR3 1704062466923822336,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,1,Eta Ursae Minoris,,,,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}}, , , ,{{mass1}},{{radius1}},{{temp1}},,,,,,,,,,,
Theta Ursae Minoris,,Theta,15,,,,Ursae Minoris,,HD 139669,,HR 5826,HIP 76008,SAO 8274,,Gaia DR3 1707279775385990016,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,1,Theta Ursae Minoris,,,,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}}, , , ,{{mass1}},{{radius1}},{{temp1}},,,,,,,,,,,
Lambda Ursae Minoris,,Lambda,,,,,Ursae Minoris,,HD 183030,,HR 7394,HIP 84535,SAO 3020,,Gaia DR3 1729093742484760320,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,1,Lambda Ursae Minoris,,,,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}}, , , ,{{mass1}},{{radius1}},{{temp1}},,,,,,,,,,,
Pi-1 Ursae Minoris A,,Pi-1,,,,,Ursae Minoris,,HD 139777,,HR 5829,HIP 75809,SAO 2556,,Gaia DR3 1720995598827435648,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,1,A,,,,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}}, , , ,{{mass1}},{{radius1}},{{temp1}},,,,,,,,,,,
Pi-1 Ursae Minoris B,,Pi-1,,,,,Ursae Minoris,,HD 139813,,,HIP 75829,SAO 2558,,Gaia DR3 1720995598827436928,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,1,B,,,,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}}, , , ,{{mass1}},{{radius1}},{{temp1}},,,,,,,,,,,
Pi-2 Ursae Minoris,,Pi-2,18,,,,Ursae Minoris,,HD 141652,,,HIP 76695,SAO 2588,,Gaia DR3 1708946939955140352,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,1,Pi-2 Ursae Minoris,,,,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}}, , , ,{{mass1}},{{radius1}},{{temp1}},,,,,,,,,,,
Baekdu,,,8,,,,Ursae Minoris,,HD 133086,, ,HIP 73136,SAO 8127 ,,Gaia DR3 1700658653802527104 ,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,1,Baekdu, , , ,{{sys age}},{{dex}},{{Z}},Y,K0 , , , ,{{mass1}},{{radius1}},{{temp1}}, , ,, , , ,, ,,,
Pherkad Minor,,,11,,,,Ursae Minoris,,HD 136726,,HR 5714,HIP 74793 ,SAO 8207 ,,Gaia DR3 1696798367260229376,,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,1,Pherkad Minor, , , ,{{sys age}},{{dex}},{{Z}},Y,K4III, , , ,{{mass1}},{{radius1}},{{temp1}}, , , , , , , ,, ,,
Tarandus,,,2,,,,Ursae Minoris,,HD 5848,,HR 285,HIP 5372,SAO 181,,Gaia DR3 574112955678493824, ,{{Otype}},{{Glat}},{{Glon}},{{Paralax}},,1,Tarandus, , , ,{{sys age}},{{dex}},{{Z}},{{exoplanets}},{{spectype1}}, , , ,{{mass1}},{{radius1}},{{temp1}}, ,, , , ,, , , , ,
