designation,l,b,parallax,phot_g_mean_mag,bp_rp,bp_g,g_rp,teff_gspphot,mh_gspphot,logg_gspphot,SIMBAD_ID,Spectral_Type,Object_Type,distance,adjusted_mag,X,Y,Z,Sector_Reference,label_name
Gaia DR3 5977322379747833600,350.85077026782477,2.9786216835798824,12.98411840445177,19.72815,2.544115,0.93185425,1.6122608,,,,,,,77.01716580596933,9.520933231267865,75.93459177658833,-12.229678721990558,4.00206932273118,C8-T2-U1,
Gaia DR3 6026023254441085440,349.8039416018611,5.683506776527106,12.985316909537694,19.593073,1.8746128,0.23153305,1.6430798,,,,,,,77.01005735682136,9.386318214465888,75.42130442210382,-13.565078139966753,7.626560720656149,C8-T2-U1,
Gaia DR3 6028512754923759488,353.0169652918345,6.482161490739263,12.98676660456733,20.375956,1.273777,0.35058975,0.92318726,,,,,,,77.00146082923435,10.169759079225468,75.94166412902828,-9.301639366272942,8.692992824670508,C8-T1-U1,
Gaia DR3 4067967970838124032,2.5801960538178887,2.7863700324920955,12.986907236837162,20.225351,,,,,,,,,,77.00062699789797,10.019208975336518,76.83161970825155,3.4622926981161473,3.743167154776309,C8-S1-U1,
Gaia DR3 4107478611912940544,357.0066531698609,5.041003294433965,12.985634312996321,19.71715,1.9317951,-0.06386185,1.995657,,,,,,,77.00817502608841,9.51051727252672,76.6056496979778,-4.00581217691297,6.7666035795424335,C8-T1-U1,
Gaia DR3 4114399694015473792,0.45466152178285996,9.389469272430357,12.98066329340884,19.956625,1.5661469,0.280344,1.2858028,,,,,,,77.0376657491584,9.748078110587976,76.00313469789204,0.6031234152645389,12.5682815977003,C8-S1-U2,
Gaia DR3 5980549583831321856,354.2768835880806,4.30081920063105,12.985322194045677,19.596685,1.7366734,0.10959816,1.6270752,,,,,,,77.01002601680092,9.389932767577335,76.41038863147271,-7.657907443985123,5.775211673611375,C8-T1-U1,
Gaia DR3 4065669716690241536,5.517345969271774,-2.4240959591766433,12.98855107014548,19.8197,,,,,,,,,,76.99088178499954,9.614190723733872,76.56561591921805,7.39582567957773,-3.2563936279046857,C8-S1-D1,
Gaia DR3 4092992511874882944,12.96761254354443,-3.5191426818931593,12.982834779811402,19.989775,1.9161282,0.49524307,1.4208851,,,,,,,77.02478056294935,9.782064191090637,74.91888475122927,17.25178677078302,-4.727936295886528,C8-S2-D1,
Gaia DR3 2019674565290379008,57.41027176158366,3.4913074232794727,12.98402600530372,20.891388,1.1560974,0.6098919,0.5462055,,,,,,,77.01771388870598,10.684136174929355,41.406270493714054,64.77076078723199,4.690156019486897,C5-S7-U1,
Gaia DR3 4321812151584310784,52.60106162315251,-2.4520388617371407,12.984602095718973,20.543238,3.4245129,2.294588,1.1299248,,,,,,,77.01429682852587,10.336207762545925,46.732661217107704,61.126130768954674,-3.294909524703295,C5-S7-D1,
Gaia DR3 2030646003381411968,68.00859062454373,-0.053414167658839586,12.98054663252288,19.603024,2.6746998,1.0984764,1.5762234,,,,,,,77.03835811463368,9.394431718285878,28.848354392568837,71.4330169588018,-0.07181923721818054,C3-S8-D1,
Gaia DR3 6076407447059845248,299.3472678410585,9.288839959918594,12.980712152891568,20.903128,1.6465092,0.27490997,1.3715992,,,,,,,77.03737577889679,10.694599616201927,37.261060905058116,-66.27026630832917,12.434725994232176,C4-T7-U2,
Gaia DR3 6093863293662170752,313.0444776552332,12.422051684315887,12.985409362065706,15.612821,3.0047512,1.7432108,1.2615404,,,,,,,77.0095090664836,5.406101547281411,51.333516284283576,-54.962852983484076,16.56560848468683,C6-T6-U2,
Gaia DR3 5789405637711543040,305.21483987386137,-15.108085124451868,12.982757737456415,17.17863,3.366952,2.0283623,1.3385897,,,,Gaia DR3 5789405637711543040,,PM*,77.02523764384131,6.970890645028099,42.88093108248271,-60.75418178901185,-20.07591538977233,C5-T7-D3,Gaia DR3 5789405637711543040
Gaia DR3 5517819565497650560,262.5649138630834,-9.14716543236339,12.982976527438549,20.77149,,,,,,,,,,77.0239396094243,10.563834174258417,-9.840367532677774,-75.4050739129226,-12.24456075017558,R1-T8-D2,
Gaia DR3 499981304754860032,138.92282612191997,14.004504987674894,12.989566882882626,14.269858,2.3434248,1.2413445,1.1020803,3534.585,-0.3973,4.7998,G 247-17,dM3.5,PM*,76.98486092848705,4.0647398692367815,-56.30819406420106,49.08127814217102,18.630196706895212,R6-S5-U2,G 247-17
Gaia DR3 568546712421791360,128.4925581119809,21.064967611003475,12.98069131527663,11.138504,1.3733921,0.62369347,0.74969864,4600.2886,0.3597,4.6152,TYC 4521-1334-1,,PM*,77.03749944528198,0.9299679478518499,-44.74486529339629,56.2670046211746,27.689303740223536,R5-S6-U3,TYC 4521-1334-1
Gaia DR3 977528749773827584,170.68710957851675,22.575345234371547,12.983418555987175,12.329493,1.8352003,0.3122263,1.522974,,,,,,,77.02131728156141,2.1220068771855267,-70.18219341637955,11.508988546761673,29.56833146600179,R8-S2-U3,
Gaia DR3 1102164238235574016,148.680404580461,27.56561684236974,12.981262518306785,17.134378,3.397831,2.0687485,1.3290825,,,,Gaia DR3 1102164238235574016,,PM*,77.03410963222977,6.926062368183921,-58.33826589762845,35.49755503085631,35.64862361605738,R6-S4-U4,Gaia DR3 1102164238235574016
Gaia DR3 2083943699973856768,85.88113282942145,5.856024162925412,12.981286603900646,7.459883,0.7061434,0.26901722,0.43712616,6023.0425,-0.2179,3.9023,HD 195353,G0,PM*,77.03396670246212,-2.7484235749476227,5.504158791250683,76.434032606542,7.859702374696804,C1-S8-U1,HD 195353
Gaia DR3 2265277494077425536,106.2381804182553,24.50528154629542,12.984247736764761,14.948485,2.7936869,1.5646143,1.2290726,,,,UCAC4 824-020263,,*,77.01639866039451,4.741318995448973,-19.59625674044556,67.28337350779427,31.94464014181423,R2-S7-U4,UCAC4 824-020263
Gaia DR3 6816582010401129600,27.21841704137225,-46.816992587833795,12.98391297600611,19.827719,0.8298626,-0.16566086,0.99552345,,,,,,,77.01838435362056,9.620423443737465,46.86988521796458,24.10689722930791,-56.159619782121354,C5-S3-D6,
